site,block,warming_treatment,plot_id,species,plant_id,phylo,year,doy,photosyn,gs,ci,soil_water,tleaf,VPG,percent_stomatal_limitation,Agmax,Vcmax25
cfc,d,ambient,d5,abiba,485,gymno,2011,269,9.61867008,0.048008037,59.5429125,0.20249975,27.64727083,1.284785724,0.173460867,11.63728334,NA
cfc,d,ambient,d5,abiba,491,gymno,2011,210,6.820092377,NA,NA,0.23936725,29.74893697,1.339771817,0.413944631,11.63728334,NA
cfc,d,ambient,d5,aceru,496,angio,2010,204,2.326666667,0.031133333,261,0.208857125,27.73333333,2.411367122,0.81015325,12.25549903,10.31991543
cfc,d,ambient,d5,aceru,497,angio,2011,167,6.011536533,0.128834073,306.487723,0.222487375,20.29199093,1.27536721,0.509482517,12.25549903,23.08655821
cfc,d,ambient,d5,aceru,499,angio,2009,187,4.619645398,0.049306839,222.9308466,0.1444305,26.83018255,2.002987197,0.623055301,12.25549903,23.85827173
cfc,d,ambient,d5,acesa,501,angio,2009,166,4.808744497,0.086712479,288.2853715,0.2076745,31.27174505,2.366297215,0.567156993,11.10967352,19.48529267
cfc,d,ambient,d5,aceru,502,angio,2009,223,3.917335313,0.078340656,303.0147683,0.2438035,29.61257267,1.682590501,0.680361012,12.25549903,15.19329698
cfc,d,ambient,d5,aceru,503,angio,2009,162,9.492946753,0.181508781,287.5317747,0.234169625,27.33566093,2.149908932,0.225413284,12.25549903,38.55556945
cfc,d,ambient,d5,aceru,505,angio,2010,165,9.685,0.1695,281.5,0.24718,25.48,1.645880703,0.209742502,12.25549903,40.08835518
cfc,d,ambient,d5,aceru,506,angio,2009,247,8.912385837,0.124800395,257.0356197,0.227751125,30.4276727,2.206565563,0.272784746,12.25549903,40.09975984
cfc,d,ambient,d5,acesa,507,angio,2009,247,5.405367389,0.063853281,241.4620382,0.227751125,30.65470759,2.387004524,0.513453984,11.10967352,25.80931362
cfc,d,ambient,d5,acesa,510,angio,2011,266,2.423150427,0.18062042,368.8233157,NA,15.5070143,0.7394397,0.781888242,11.10967352,7.983098331
cfc,d,ambient,d5,acesa,511,angio,2011,167,2.166090993,0.081810957,346.4492157,0.222487375,17.48830603,1.114236877,0.805026584,11.10967352,7.50476498
cfc,d,ambient,d5,acesa,512,angio,2009,188,3.194313924,0.036605472,246.2734808,0.139687625,26.32220268,1.521461724,0.712474546,11.10967352,14.96588463
cfc,d,ambient,d5,acesa,516,angio,2011,209,9.073333333,0.143,264.3333333,0.248948625,35.99,2.937012595,0.183294332,11.10967352,39.77374697
cfc,d,ambient,d5,betpa,519,angio,2009,162,14.8,0.278333333,280.6666667,0.234169625,25.07,1.407992565,0.299644255,21.13211766,61.42398176
cfc,d,ambient,d5,betpa,521,angio,2010,236,20.23036293,0.550012295,297.4847727,0.251419375,25.05753771,1.266343837,0.042672237,21.13211766,79.73375867
cfc,d,ambient,d5,betpa,522,angio,2011,167,13.96909823,0.161011587,230.125381,0.222487375,16.9921818,1.143218174,0.338963635,21.13211766,69.90200888
cfc,d,ambient,d5,betpa,523,angio,2010,204,18.03333333,0.658,315.3333333,0.208857125,27.16666667,1.684790929,0.146638608,21.13211766,67.58380673
cfc,d,ambient,d5,poptr,526,angio,2011,168,13.1435252,0.370853067,314.997684,0.217968375,16.6565857,0.782897669,0.347553974,20.145,49.30296414
cfc,d,ambient,d5,betpa,527,angio,2010,165,17,0.582333333,315.3333333,0.24718,24.7,1.202005305,0.19553732,21.13211766,63.71116715
cfc,d,ambient,d5,betpa,528,angio,2009,187,15.66161522,0.276634475,268.737389,0.1444305,29.86333275,2.185676416,0.258871474,21.13211766,67.61675643
cfc,d,ambient,d5,picgl,534,gymno,2011,236,11.5856204,0.189749883,251.1840143,0.2524215,27.94281833,1.503672472,0.284716395,16.19724024,53.27058059
cfc,d,ambient,d5,picgl,537,gymno,2011,210,10.55446153,NA,NA,0.23936725,29.74020193,1.776764959,0.348379022,16.19724024,NA
cfc,d,ambient,d5,pinba,540,gymno,2010,207,17.53333333,0.312333333,291,0.2072085,30.75,2.053217071,0.066465004,18.7816562,70.45797429
cfc,d,ambient,d5,pinba,542,gymno,2011,266,11.3471545,0.163169593,252.8163457,NA,18.87240857,0.964498508,0.395838451,18.7816562,51.85554587
cfc,d,ambient,d5,pinba,543,gymno,2011,237,5.697603133,0.05993,210.495639,0.243123625,23.31514167,2.316346189,0.696640005,18.7816562,31.19072039
cfc,d,ambient,d5,pinba,545,gymno,2011,167,15.79528853,0.47806579,327.8143973,0.222487375,18.05909983,0.94934784,0.15900449,18.7816562,57.28563954
cfc,d,ambient,d5,pinst,551,gymno,2011,237,5.28523861,0.144571417,250.1818503,0.243123625,22.7091643,0.847119518,0.598852195,13.17528985,24.39373665
